Model,Augmentation,Freeze,Optimizer,LR,Batch Size,Epochs,Train Accuracy,Validation Accuracy,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,Error Rate,ROC-AUC
ResNet50,NoAug,Frozen,Adam,,24,,0.9825783967971802,0.875,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4837239583333333
ResNet50,NoAug,Frozen,Adam,,32,,0.9825783967971802,0.875,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4971788194444444
ResNet50,NoAug,Frozen,SGD,,24,,0.5261324048042297,0.5833333134651184,0.09722222222222222,0.0205761316872428,0.09722222222222222,0.033662773285414796,0.8871527777777778,0.11284722222222222,0.9027777777777778,0.2006172839506173,0.4952256944444444
ResNet50,NoAug,Frozen,SGD,,32,,0.5400696992874146,0.625,0.1111111111111111,0.012519561815336464,0.1111111111111111,0.02250351617440225,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4448784722222222
ResNet50,NoAug,Frozen,RMSprop,,24,,0.9895470142364502,0.9305555820465088,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5123697916666666
ResNet50,NoAug,Frozen,RMSprop,,32,,0.9790940880775452,0.9444444179534912,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5071614583333334
CNN,NoAug,FineTune,Adam,0.01,24,5,0.09407665580511093,0.1111111119389534,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4930555555555556
CNN,NoAug,FineTune,Adam,0.01,24,10,0.10801393538713455,0.1111111119389534,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5069444444444444
CNN,NoAug,FineTune,Adam,0.01,24,15,0.11498257517814636,0.1111111119389534,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5
CNN,NoAug,FineTune,Adam,0.001,24,10,0.8710801601409912,0.5,0.5,0.5302910052910054,0.5,0.4611728582743075,0.9375,0.0625,0.5,0.1111111111111111,0.83984375
CNN,NoAug,FineTune,Adam,0.001,24,15,0.9790940880775452,0.5138888955116272,0.5138888888888888,0.5071709155042489,0.5138888888888888,0.4960045067114211,0.9392361111111112,0.06076388888888889,0.4861111111111111,0.10802469135802469,0.8559027777777778
CNN,NoAug,FineTune,Adam,0.001,32,10,0.9268292784690857,0.5694444179534912,0.5694444444444444,0.5751270878721859,0.5694444444444444,0.545121741004094,0.9461805555555556,0.05381944444444445,0.4305555555555556,0.09567901234567902,0.8752170138888888
CNN,NoAug,FineTune,Adam,0.001,32,15,0.9303135871887207,0.5138888955116272,0.5138888888888888,0.4912457912457913,0.5138888888888888,0.4908248919600829,0.9392361111111112,0.06076388888888889,0.4861111111111111,0.10802469135802469,0.8645833333333334
CNN,NoAug,FineTune,Adam,0.0001,24,10,0.6829268336296082,0.4027777910232544,0.4027777777777778,0.3922756981580511,0.4027777777777778,0.38149147798270605,0.9253472222222222,0.07465277777777778,0.5972222222222222,0.13271604938271606,0.857421875
CNN,NoAug,FineTune,Adam,0.0001,24,15,0.8815330862998962,0.4861111044883728,0.4861111111111111,0.52502035002035,0.4861111111111111,0.4858896550073021,0.9357638888888888,0.0642361111111111,0.5138888888888888,0.11419753086419752,0.8858506944444444
CNN,NoAug,FineTune,Adam,0.0001,32,10,0.7177700400352478,0.4722222089767456,0.4722222222222222,0.46403133903133903,0.4722222222222222,0.44622626828509176,0.9340277777777778,0.06597222222222222,0.5277777777777778,0.11728395061728396,0.8483072916666666
CNN,NoAug,FineTune,Adam,0.0001,32,15,0.8606271743774414,0.5,0.5,0.5290750023206163,0.5,0.4891155987561217,0.9375,0.0625,0.5,0.1111111111111111,0.8760850694444444
CNN,NoAug,FineTune,SGD,0.0001,24,15,0.11498257517814636,0.1111111119389534,0.1111111111111111,0.10522875816993466,0.1111111111111111,0.07513227513227513,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5640190972222222
CNN,NoAug,FineTune,SGD,0.0001,32,15,0.10801393538713455,0.1805555522441864,0.18055555555555555,0.08561061061061062,0.18055555555555555,0.09853988603988603,0.8975694444444444,0.10243055555555555,0.8194444444444444,0.18209876543209877,0.5913628472222222
CNN,NoAug,FineTune,RMSprop,0.0001,24,15,0.7630661725997925,0.5277777910232544,0.5277777777777778,0.545983645983646,0.5277777777777778,0.5109675250026127,0.9409722222222222,0.059027777777777776,0.4722222222222222,0.10493827160493827,0.8689236111111112
CNN,NoAug,FineTune,RMSprop,0.0001,32,15,0.6306620240211487,0.4166666567325592,0.4166666666666667,0.4071021571021571,0.4166666666666667,0.3887132191480018,0.9270833333333334,0.07291666666666667,0.5833333333333334,0.12962962962962965,0.8502604166666666
CNN,Augmented,FineTune,Adam,0.0001,24,10,0.5540069937705994,0.5277777910232544,0.5277777777777778,0.6051841676841677,0.5277777777777778,0.5066458233124899,0.9409722222222222,0.059027777777777776,0.4722222222222222,0.10493827160493827,0.8697916666666666
CNN,Augmented,FineTune,Adam,0.0001,32,10,0.4912891983985901,0.4722222089767456,0.4722222222222222,0.5448887532220865,0.4722222222222222,0.4335934036914429,0.9340277777777778,0.06597222222222222,0.5277777777777778,0.11728395061728396,0.8444010416666666
CNN,Augmented,FineTune,SGD,0.0001,24,10,0.12195122241973877,0.1527777761220932,0.1527777777777778,0.19987654320987655,0.1527777777777778,0.09910213243546578,0.8940972222222222,0.10590277777777778,0.8472222222222222,0.1882716049382716,0.5026041666666666
CNN,Augmented,FineTune,SGD,0.0001,32,10,0.1358885020017624,0.125,0.125,0.04084967320261438,0.125,0.04191033138401559,0.890625,0.109375,0.875,0.19444444444444445,0.5785590277777778
CNN,Augmented,FineTune,RMSprop,0.0001,24,10,0.5052264928817749,0.4583333432674408,0.4583333333333333,0.41840628507295174,0.4583333333333333,0.42246059467421687,0.9322916666666666,0.06770833333333333,0.5416666666666666,0.12037037037037036,0.84375
CNN,Augmented,FineTune,RMSprop,0.0001,32,10,0.4216027855873108,0.4444444477558136,0.4444444444444444,0.3944003527336861,0.4444444444444444,0.3949049316696376,0.9305555555555556,0.06944444444444445,0.5555555555555556,0.1234567901234568,0.8389756944444444
ResNet50,NoAug,FineTune,Adam,0.0001,24,10,1.0,0.9166666865348816,0.09722222222222222,0.019425019425019424,0.09722222222222222,0.032176973353443945,0.8871527777777778,0.11284722222222222,0.9027777777777778,0.2006172839506173,0.513671875
ResNet50,NoAug,FineTune,Adam,0.0001,32,10,0.996515691280365,0.9305555820465088,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4175347222222222
ResNet50,NoAug,FineTune,SGD,0.0001,24,10,0.1428571492433548,0.1388888955116272,0.1388888888888889,0.06862745098039216,0.1388888888888889,0.0604288499025341,0.8923611111111112,0.1076388888888889,0.8611111111111112,0.19135802469135804,0.544921875
ResNet50,NoAug,FineTune,SGD,0.0001,32,10,0.1428571492433548,0.125,0.1111111111111111,0.013071895424836602,0.1111111111111111,0.023391812865497075,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4926215277777778
ResNet50,NoAug,FineTune,RMSprop,0.0001,24,10,0.99303138256073,0.9722222089767456,0.16666666666666666,0.03935185185185185,0.16666666666666666,0.0625,0.8958333333333334,0.10416666666666667,0.8333333333333334,0.1851851851851852,0.51171875
ResNet50,NoAug,FineTune,RMSprop,0.0001,32,10,1.0,0.9305555820465088,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.615234375
ResNet50,Augmented,Frozen,Adam,0.0001,24,10,0.8397212624549866,0.8888888955116272,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4802517361111111
ResNet50,Augmented,Frozen,Adam,0.0001,32,10,0.7665505409240723,0.8333333134651184,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4646267361111111
ResNet50,Augmented,Frozen,SGD,0.0001,24,10,0.1463414579629898,0.1805555522441864,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4984809027777778
ResNet50,Augmented,Frozen,SGD,0.0001,32,10,0.15679442882537842,0.2083333283662796,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.509765625
ResNet50,Augmented,Frozen,RMSprop,0.0001,24,10,0.815330982208252,0.8472222089767456,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5141059027777778
ResNet50,Augmented,Frozen,RMSprop,0.0001,32,15,0.8745644688606262,0.9027777910232544,0.125,0.03548922056384743,0.125,0.0407977207977208,0.890625,0.109375,0.875,0.19444444444444445,0.5080295138888888
ResNet50,Augmented,FineTune,Adam,0.0001,24,15,0.996515691280365,0.9444444179534912,0.1111111111111111,0.012698412698412698,0.1111111111111111,0.02279202279202279,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5045572916666666
ResNet50,Augmented,FineTune,Adam,0.0001,32,15,0.996515691280365,0.9444444179534912,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5162760416666666
ResNet50,Augmented,FineTune,RMSprop,0.0001,24,15,0.996515691280365,0.9166666865348816,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4533420138888889
ResNet50,Augmented,FineTune,RMSprop,0.0001,32,15,0.996515691280365,0.9583333134651184,0.013888888888888888,0.0029239766081871343,0.013888888888888888,0.004830917874396135,0.8767361111111112,0.1232638888888889,0.9861111111111112,0.2191358024691358,0.5219184027777778
MobileNetV2,NoAug,Frozen,Adam,0.0001,24,10,0.7944250702857971,0.7777777910232544,0.75,0.7652014652014653,0.75,0.745991045991046,0.96875,0.03125,0.25,0.05555555555555555,0.9613715277777778
MobileNetV2,NoAug,Frozen,RMSprop,0.0001,24,10,0.7735191583633423,0.8611111044883728,0.7916666666666666,0.7840388007054675,0.7916666666666666,0.7829494760867309,0.9739583333333334,0.026041666666666668,0.20833333333333334,0.0462962962962963,0.9759114583333334
MobileNetV2,NoAug,FineTune,Adam,0.0001,24,10,0.99303138256073,0.8333333134651184,0.8611111111111112,0.8921717171717172,0.8611111111111112,0.8575489650051054,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9900173611111112
MobileNetV2,NoAug,FineTune,RMSprop,0.0001,24,10,1.0,0.8888888955116272,0.8611111111111112,0.8950617283950617,0.8611111111111112,0.8442577030812325,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9934895833333334
MobileNetV2,Augmented,Frozen,Adam,0.0001,24,10,0.696864128112793,0.8333333134651184,0.8194444444444444,0.8316378066378066,0.8194444444444444,0.8178724946268806,0.9774305555555556,0.022569444444444444,0.18055555555555555,0.040123456790123455,0.9776475694444444
MobileNetV2,Augmented,Frozen,RMSprop,0.0001,24,10,0.8188153505325317,0.8611111044883728,0.8194444444444444,0.8171957671957671,0.8194444444444444,0.8082062454611475,0.9774305555555556,0.022569444444444444,0.18055555555555555,0.040123456790123455,0.9767795138888888
MobileNetV2,Augmented,FineTune,Adam,0.0001,24,10,0.9581881761550903,0.8055555820465088,0.8611111111111112,0.8834535834535835,0.8611111111111112,0.8514863113418325,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9956597222222222
MobileNetV2,Augmented,FineTune,RMSprop,0.0001,24,10,0.9895470142364502,0.875,0.8611111111111112,0.8943402276735609,0.8611111111111112,0.8594623814438056,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9963107638888888
